TITLE;2 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2
type;;;;;;;;;RandomNormal;RandomNormal
p1;;;;;;;;;0;0
p2;;;;;;;;;1;1
distances;(RandomNormal, RandomNormal) (many)
DE Euclidean(MinimumTimesMedian);0.028426;1.2579;0.0116024475585958;0.51341;2.45;0.3829;0.6171
DE Euclidean(MinimumTimesMedian);0.028426;1.2579;0.0116024475585958;0.51341;2.45;0.3829;0.6171
weights;(RandomPearson, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.50242;0.49758
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0077474;1.1348;0.00676912271440412;0.99148;1.1445;0.40908;0.59092
DE Euclidean(MinimumTimesMedian);0.0077474;1.1348;0.00676912271440412;0.99148;1.1445;0.40908;0.59092
DE Euclidean(MinimumTimesMedian);0.0077474;1.1348;0.00676912271440412;0.99148;1.1445;0.40908;0.59092
DE Euclidean(MinimumTimesMedian);0.0077474;1.1348;0.00676912271440412;0.99148;1.1445;0.40908;0.59092
DE Euclidean(MinimumTimesMedian);0.0077474;1.1348;0.00676912271440412;0.99148;1.1445;0.40908;0.59092
weights;(RandomPearson, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.99694;0.0030643
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0035327;2.0316;0.0013088487934601;0.75271;2.6991;0.94395;0.05605
DE Euclidean(MinimumTimesMedian);0.0035332;2.0319;0.0013088487934601;0.75271;2.6995;0.94402;0.055979
DE Euclidean(MinimumTimesMedian);0.0035333;2.032;0.0013088487934601;0.75271;2.6996;0.94403;0.055967
DE Euclidean(MinimumTimesMedian);0.0035333;2.032;0.0013088487934601;0.75271;2.6996;0.94404;0.055963
DE Euclidean(MinimumTimesMedian);0.0035333;2.032;0.0013088487934601;0.75271;2.6996;0.94404;0.055963
weights;(RandomPearson, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.597;0.403
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0062784;1.2485;0.00427979943511036;0.85106;1.467;0.02369;0.97631
DE Euclidean(MinimumTimesMedian);0.0062786;1.2485;0.00427979943511036;0.85106;1.467;0.023675;0.97633
DE Euclidean(MinimumTimesMedian);0.0062786;1.2485;0.00427979943511036;0.85106;1.467;0.023675;0.97633
DE Euclidean(MinimumTimesMedian);0.0062786;1.2485;0.00427979943511036;0.85106;1.467;0.023675;0.97633
DE Euclidean(MinimumTimesMedian);0.0062786;1.2485;0.00427979943511036;0.85106;1.467;0.023675;0.97633
weights;(RandomUniform, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.085826;0.91417
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.023643;1.99;0.0192728775758902;1.6222;1.2267;0.11505;0.88495
DE Euclidean(MinimumTimesMedian);0.023643;1.99;0.0192728775758902;1.6222;1.2267;0.11505;0.88495
DE Euclidean(MinimumTimesMedian);0.023643;1.99;0.0192728775758902;1.6222;1.2267;0.11505;0.88495
DE Euclidean(MinimumTimesMedian);0.023643;1.99;0.0192728775758902;1.6222;1.2267;0.11505;0.88495
DE Euclidean(MinimumTimesMedian);0.023643;1.99;0.0192728775758902;1.6222;1.2267;0.11505;0.88495
weights;(RandomUniform, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.00035099;0.99965
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0053519;1.0786;6.49280477046832E-05;0.013085;82.429;0.57641;0.42359
DE Euclidean(MinimumTimesMedian);0.0053519;1.0786;6.49280477046832E-05;0.013085;82.429;0.57641;0.42359
DE Euclidean(MinimumTimesMedian);0.0053519;1.0786;6.49280477046832E-05;0.013085;82.429;0.57641;0.42359
DE Euclidean(MinimumTimesMedian);0.0053519;1.0786;6.49280477046832E-05;0.013085;82.429;0.57641;0.42359
DE Euclidean(MinimumTimesMedian);0.0053519;1.0786;6.49280477046832E-05;0.013085;82.429;0.57641;0.42359
weights;(RandomUniform, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.51896;0.48104
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0023431;1.0526;0.00232754234567508;1.0456;1.0067;0.52169;0.47831
DE Euclidean(MinimumTimesMedian);0.0023435;1.0527;0.00232754234567508;1.0456;1.0069;0.5218;0.4782
DE Euclidean(MinimumTimesMedian);0.0023436;1.0528;0.00232754234567508;1.0456;1.0069;0.52183;0.47817
DE Euclidean(MinimumTimesMedian);0.0023436;1.0528;0.00232754234567508;1.0456;1.0069;0.52183;0.47817
DE Euclidean(MinimumTimesMedian);0.0023436;1.0528;0.00232754234567508;1.0456;1.0069;0.52183;0.47817
weights;(RandomUniform, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.09637;0.90363
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0033958;1.7324;0.00300964040502299;1.5354;1.1283;0.033123;0.96688
DE Euclidean(MinimumTimesMedian);0.0033962;1.7326;0.00300964040502299;1.5354;1.1285;0.033134;0.96687
DE Euclidean(MinimumTimesMedian);0.0033962;1.7326;0.00300964040502299;1.5354;1.1285;0.033134;0.96687
DE Euclidean(MinimumTimesMedian);0.0033962;1.7326;0.00300964040502299;1.5354;1.1285;0.033134;0.96687
DE Euclidean(MinimumTimesMedian);0.0033962;1.7326;0.00300964040502299;1.5354;1.1285;0.033134;0.96687
weights;(RandomWeibull, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.47432;0.52568
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.017144;1.2226;0.0143215766942715;1.0213;1.1971;0.20969;0.79031
DE Euclidean(MinimumTimesMedian);0.017145;1.2226;0.0143215766942715;1.0213;1.1971;0.20969;0.79031
DE Euclidean(MinimumTimesMedian);0.017145;1.2226;0.0143215766942715;1.0213;1.1971;0.20969;0.79031
DE Euclidean(MinimumTimesMedian);0.017145;1.2226;0.0143215766942715;1.0213;1.1971;0.20969;0.79031
