TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
DE Euclidean(MinimumTimesMedian);0.095664;4.4475;0.050800729586524;2.3618;1.8831;0.2504;0.16885;0.11226;0.22455;4.6687E-09;0.24393;9.9653E-09;3.1646E-12;6.9685E-10;4.3417E-11;2.1288E-08;1.7037E-10;3.1057E-09;6.6095E-09;1.0281E-11
DE Euclidean(MinimumTimesMedian);0.095684;4.4484;0.050800729586524;2.3618;1.8835;0.25076;0.1682;0.11233;0.22466;4.6895E-08;0.24404;1.8325E-07;5.2285E-11;1.5937E-08;1.0102E-08;5.6677E-10;1.9364E-07;2.4992E-07;1.7646E-07;4.7607E-06
DE Euclidean(MinimumTimesMedian);0.095685;4.4485;0.050800729586524;2.3618;1.8835;0.2508;0.16817;0.11227;0.22466;8.9239E-07;0.24409;1.111E-06;1.1372E-07;2.8314E-06;1.5542E-06;2.651E-07;2.8104E-07;2.8243E-08;2.2395E-07;4.6234E-07
DE Euclidean(MinimumTimesMedian);0.095695;4.4489;0.050800729586524;2.3618;1.8837;0.25081;0.16813;0.11229;0.22469;2.5499E-08;0.24408;6.4835E-11;8.2286E-10;2.1469E-08;2.1372E-09;5.315E-10;1.4802E-08;2.0985E-08;1.5502E-08;2.3092E-11
weights;(RandomNormal, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.053152;0.072971;0.074024;0.074137;0.046879;0.061989;0.079645;0.040061;0.055401;0.16458;0.055576;0.056678;0.072792;0.02053;0.071589
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.12594;2.0664;0.0649821415944356;1.0662;1.9381;1.4861E-07;0.17209;0.11482;0.11832;0.13012;4.979E-08;0.17191;3.4428E-08;1.5281E-08;0.065498;9.5195E-08;7.8347E-08;0.11756;1.0261E-09;0.10968
DE Euclidean(MinimumTimesMedian);0.12867;2.1111;0.0649821415944356;1.0662;1.98;1.6162E-09;0.054241;0.20749;0.18484;7.6269E-09;5.9572E-09;0.14689;5.8571E-10;1.5245E-12;0.16769;3.1059E-09;0.051715;1.5147E-09;1.2349E-08;0.18713
