TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
29748;4.4018;4.5357;4;0.5;1;75;125;T;0.0010775;
28131;2.5787;2.6572;3;0.85;1;10;75;T;0.0010843;
30775;6.7133;6.9175;4;1.2;0.75;10;50;T;0.0010849;
24232;6.041;6.2248;1;0.85;1;30;125;T;0.0010859;
31027;5.9077;6.0874;4;1.5;0.25;100;30;T;0.0011004;
27065;4.8457;4.9931;2;1.5;0.25;30;30;T;0.0011023;
28945;4.0069;4.1288;3;1.2;1;50;75;T;0.0011048;
33703;3.5346;3.6421;6;0.5;1;150;50;T;0.001105;
26075;5.7728;5.9485;2;0.85;0.75;10;100;T;0.0011069;
24650;6.6603;6.8629;1;1;1;75;100;T;0.0011076;
28033;5.193;5.351;3;0.85;0.75;10;75;T;0.0011095;
25031;2.8185;2.9042;1;1.2;1;75;10;T;0.0011099;
27258;4.116;4.2412;2;1.5;0.75;30;10;T;0.0011118;
28823;5.5291;5.6973;3;1.2;0.75;10;150;T;0.0011151;
30760;7.6392;7.8716;4;1.2;0.5;150;30;T;0.0011161;
33403;3.5517;3.6598;6;0.5;0.25;150;10;T;0.0011265;
25887;6.1933;6.3817;2;0.85;0.25;30;30;T;0.0011319;
32219;10.581;10.903;5;1;0.25;125;50;T;0.0011324;
35193;4.5535;4.692;6;1.5;1;10;150;T;0.0011332;
27691;5.5209;5.6889;3;0.5;0.75;100;10;T;0.0011381;
32072;4.0004;4.1221;5;0.85;1;30;125;T;0.0011401;
30976;14.956;15.411;4;1.5;0.25;10;100;T;0.0011415;
25097;14.503;14.944;1;1.5;0.25;10;125;T;0.0011422;
30556;7.0393;7.2535;4;1;1;125;75;T;0.0011455;
31770;5.0403;5.1937;5;0.5;1;150;150;T;0.0011467;
25032;2.8507;2.9375;1;1.2;1;75;10;T;0.0011644;
26073;4.6976;4.8405;2;0.85;0.75;10;75;T;0.0011654;
28688;12.02;12.385;3;1.2;0.25;125;30;T;0.0011711;
25345;6.9388;7.1499;1;1.5;0.75;100;50;T;0.0011715;
25426;6.194;6.3824;1;1.5;1;50;150;T;0.0011787;
31732;5.2718;5.4322;5;0.5;1;125;75;T;0.0011797;
27443;6.6607;6.8633;3;0.5;0.25;10;50;T;0.0011799;
30539;4.7227;4.8664;4;1;1;100;50;T;0.001184;
23877;4.9136;5.0631;1;0.5;1;100;75;T;0.0011863;
27652;4.6099;4.7502;3;0.5;0.75;30;30;T;0.0011867;
17632;3.2683;5.4107;3;1.5;1;150;50;C;0.0011884;
29627;6.4139;6.609;4;0.5;0.75;50;30;T;0.0011926;
29365;4.4595;4.5951;3;1.5;1;100;75;T;0.0011929;
28854;5.1149;5.2705;3;1.2;0.75;75;10;T;0.0011983;
27644;4.4934;4.6301;3;0.5;0.75;10;100;T;0.0012015;
30916;8.8458;9.1149;4;1.2;1;50;150;T;0.0012049;
25277;13.711;14.128;1;1.5;0.5;150;75;T;0.001217;
31683;3.3029;3.4034;5;0.5;1;30;150;T;0.0012178;
26110;5.0897;5.2446;2;0.85;0.75;75;10;T;0.001225;
31794;3.0951;3.1892;5;0.85;0.25;75;10;T;0.0012339;
25367;3.435;3.5395;1;1.5;0.75;150;10;T;0.001234;
24274;7.2798;7.5013;1;0.85;1;100;125;T;0.0012367;
27481;4.2071;4.3351;3;0.5;0.25;75;10;T;0.0012387;
31835;3.7783;3.8933;5;0.85;0.25;150;10;T;0.0012407;
27416;9.1823;9.4617;2;1.5;1;125;30;T;0.0012441;
34713;8.8791;9.1493;6;1.2;0.75;30;75;T;0.0012462;
24886;13.605;14.019;1;1.2;0.5;150;75;T;0.0012464;
30150;3.4729;3.5786;4;0.85;1;100;75;T;0.0012475;
32724;10.998;11.332;5;1.2;0.5;150;50;T;0.0012575;
24928;12.227;12.599;1;1.2;0.75;50;75;T;0.0012586;
24249;3.5482;3.6561;1;0.85;1;50;150;T;0.0012641;
32077;3.9437;4.0637;5;0.85;1;50;30;T;0.0012668;
30163;7.2984;7.5205;4;0.85;1;125;75;T;0.0012697;
29241;7.8248;8.0629;3;1.5;0.75;50;100;T;0.0012784;
25484;4.9353;5.0855;2;0.5;0.25;10;50;T;0.0012827;
25844;3.3539;3.4559;2;0.5;1;125;10;T;0.0012841;
32895;6.3256;6.5181;5;1.2;1;100;100;T;0.0012848;
35179;10.851;11.181;6;1.5;0.75;150;125;T;0.0012864;
24840;7.145;7.3624;1;1.2;0.5;75;30;T;0.0012912;
22258;2.8432;4.7069;6;0.85;1;10;150;C;0.0012921;
32667;9.9002;10.201;5;1.2;0.5;50;50;T;0.0012929;
31282;5.2106;5.3692;4;1.5;1;30;50;T;0.0012939;
33599;3.3424;3.4441;6;0.5;0.75;150;10;T;0.0012939;
25104;8.1771;8.4259;1;1.2;1;150;150;T;0.0012981;
30777;9.4955;9.7844;4;1.2;0.75;10;75;T;0.0012981;
30856;3.1085;3.203;4;1.2;0.75;150;10;T;0.0012993;
28191;4.8084;4.9547;3;0.85;1;100;100;T;0.0013053;
31238;7.0341;7.2482;4;1.5;0.75;125;30;T;0.0013054;
14446;3.0384;5.0301;2;0.85;1;50;125;C;0.0013134;
25430;5.2867;5.4475;1;1.5;1;75;50;T;0.001318;
26222;3.3811;3.4839;2;0.85;1;100;10;T;0.0013204;
24662;5.2719;5.4323;1;1;1;100;75;T;0.0013237;
30309;3.7085;3.8213;4;1;0.5;50;10;T;0.0013273;
27667;6.7585;6.9642;3;0.5;0.75;50;30;T;0.0013313;
21073;2.8961;4.7945;5;1.2;1;10;50;C;0.0013353;
32733;4.7118;4.8551;5;1.2;0.75;10;30;T;0.0013372;
27062;3.172;3.2685;2;1.5;0.25;30;10;T;0.0013392;
24135;2.9749;3.0654;1;0.85;0.75;50;10;T;0.0013427;
30121;3.9402;4.0601;4;0.85;1;50;75;T;0.0013441;
32922;6.8661;7.075;5;1.2;1;150;75;T;0.0013447;
29906;6.4959;6.6936;4;0.85;0.5;30;30;T;0.0013469;
24530;7.0327;7.2467;1;1;0.75;50;30;T;0.0013494;
29762;4.1257;4.2512;4;0.5;1;100;125;T;0.0013568;
26925;12.043;12.41;2;1.2;0.75;125;30;T;0.0013625;
24242;3.1874;3.2843;1;0.85;1;50;75;T;0.0013645;
24213;3.1125;3.2072;1;0.85;1;10;100;T;0.0013709;
28685;3.9909;4.1124;3;1.2;0.25;125;10;T;0.0013759;
23903;3.9251;4.0445;1;0.5;1;150;50;T;0.0013847;
23885;3.7088;3.8216;1;0.5;1;100;150;T;0.0013858;
30624;9.5297;9.8196;4;1.2;0.25;75;50;T;0.0013882;
27455;12.336;12.712;3;0.5;0.25;10;150;T;0.0013887;
32031;4.4528;4.5883;5;0.85;0.75;150;10;T;0.0013889;
34097;4.9768;5.1283;6;0.85;1;150;75;T;0.0013893;
28582;8.2283;8.4786;3;1;1;100;75;T;0.0013942;
29054;9.5901;9.8819;3;1.5;0.25;75;30;T;0.0014003;
33275;9.6226;9.9153;5;1.5;1;75;125;T;0.0014011;
30284;4.338;4.47;4;1;0.5;10;30;T;0.0014028;
26460;3.5481;3.656;2;1;0.75;10;10;T;0.0014036;
25709;4.5212;4.6587;2;0.5;0.75;50;50;T;0.0014056;
26718;11.265;11.608;2;1.2;0.25;100;50;T;0.0014088;
33460;2.9204;3.0092;6;0.5;0.5;75;10;T;0.0014107;
28084;7.3667;7.5908;3;0.85;0.75;100;10;T;0.0014114;
27098;11.987;12.352;2;1.5;0.25;75;75;T;0.0014136;
25684;2.9011;2.9893;2;0.5;0.75;10;100;T;0.0014143;
32427;7.384;7.6087;5;1;0.75;150;30;T;0.0014145;
29790;4.4586;4.5942;4;0.5;1;150;125;T;0.0014152;
32135;3.9766;4.0976;5;0.85;1;150;50;T;0.0014162;
24531;6.8523;7.0608;1;1;0.75;50;30;T;0.0014165;
23854;2.8389;2.9252;1;0.5;1;50;125;T;0.0014214;
23943;5.5668;5.7361;1;0.85;0.25;50;30;T;0.0014233;
