i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;weights ->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);1.9216E-015;3.2082E-014;4.2793E-015;3.8739E-015;1.8563E-015;2.6668E-015;1;9.472E-016;6.9387E-016;8.2616E-015;3.2846E-015;3.2695E-015;8.6946E-015;1.6078E-016;2.7745E-016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);9.1866E-016;2.477E-016;4.1918E-015;4.3405E-016;5.5061E-017;2.5158E-015;1;1.4098E-015;3.3801E-016;3.4684E-015;4.4848E-015;1.7729E-016;6.7772E-015;3.8597E-017;1.6633E-016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);6.4897E-015;1.1441E-014;1.3515E-015;1.0606E-014;8.9848E-017;3.8281E-016;1;4.9582E-015;4.9886E-014;4.0629E-014;1.1321E-015;6.2734E-015;7.166E-014;2.782E-014;6.9852E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);7.8716E-015;2.1512E-014;6.7578E-015;1.0958E-015;1.6684E-014;1.9947E-015;1;1.9054E-015;3.1438E-016;1.1542E-016;1.1937E-014;2.8001E-014;2.5047E-015;8.9155E-016;3.4024E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);3.092E-017;5.4402E-015;3.3544E-016;4.8637E-015;6.2474E-017;6.9448E-016;1;3.4869E-015;7.2268E-015;1.3949E-016;5.0861E-015;1.7936E-015;6.8851E-015;1.2588E-015;1.8285E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);1.3943E-015;1.0393E-015;2.8241E-015;3.1014E-017;6.9073E-016;5.091E-018;1;2.6904E-016;3.201E-015;1.751E-015;2.4244E-015;1.0516E-015;1.8305E-016;2.5634E-015;1.7828E-017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);1.2794E-015;9.8101E-014;6.0121E-014;6.8487E-014;1.8079E-014;3.2831E-015;1;7.0081E-016;2.9981E-014;4.4888E-014;3.1918E-015;9.061E-015;2.1528E-014;1.0103E-014;1.4701E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);3.5498E-016;3.1933E-015;1.4769E-015;3.0426E-015;2.5557E-015;1.4063E-016;1;1.6761E-015;5.1605E-015;5.8799E-015;2.3888E-017;3.2342E-019;3.961E-015;3.6548E-015;3.8376E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);8.2204E-015;1.7927E-014;1.2878E-017;3.3102E-015;1.0654E-014;1.5201E-014;1;3.782E-015;1.6389E-014;1.456E-014;9.2128E-014;8.6452E-015;4.334E-017;4.3868E-015;5.996E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);1.7055E-014;4.3085E-014;5.0056E-015;5.379E-014;2.5625E-014;5.5963E-014;1;6.885E-014;4.7772E-014;3.3638E-014;8.9494E-014;2.93E-015;4.9313E-015;1.0936E-014;7.2963E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
